Brgy,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045
Comembo,1208.0,1335.0,1389.0,1483.0,1503.0,1597.0,1762.0,2003.0,2165.0,2598.0,2899.0,3200.0,3700.0,3914.0,4025.0,4039.0,4254.0,4469.0,4684.0,4899.0,5114.0,5329.0,5544.0,5759.0,5974.0,6189.0,6404.0,6619.0,6834.0,7049.0,7264.0,7480.0,7695.0,7910.0,8125.0,8340.0,8555.0,8770.0,8985.0,9200.0,9415.0
EastRembo,1806.0,2016.0,2158.0,2269.0,2455.0,2568.0,2677.0,2970.0,3005.0,3156.0,3750.0,4298.0,5687.0,5983.0,6102.0,5823.0,6126.0,6430.0,6734.0,7037.0,7341.0,7645.0,7948.0,8252.0,8556.0,8859.0,9163.0,9466.0,9770.0,10074.0,10377.0,10681.0,10985.0,11288.0,11592.0,11896.0,12199.0,12503.0,12807.0,13110.0,13414.0
Pembo,205.0,246.0,489.0,652.0,764.0,891.0,1203.0,1448.0,1999.0,2500.0,2398.0,3098.0,3120.0,4009.0,4099.0,4142.0,4434.0,4726.0,5017.0,5309.0,5601.0,5893.0,6184.0,6476.0,6768.0,7060.0,7351.0,7643.0,7935.0,8227.0,8518.0,8810.0,9102.0,9394.0,9685.0,9977.0,10269.0,10561.0,10852.0,11144.0,11436.0
Rizal,398.0,423.0,460.0,489.0,550.0,558.0,709.0,1198.0,1678.0,1778.0,1226.0,1973.0,2019.0,2569.0,2603.0,2599.0,2768.0,2938.0,3107.0,3277.0,3446.0,3616.0,3786.0,3955.0,4125.0,4294.0,4464.0,4633.0,4803.0,4973.0,5142.0,5312.0,5481.0,5651.0,5820.0,5990.0,6160.0,6329.0,6499.0,6668.0,6838.0
WestRembo,108.0,100.0,121.0,198.0,263.0,249.0,300.0,402.0,543.0,600.0,1098.0,1269.0,1427.0,1574.0,1609.0,1618.0,1738.0,1858.0,1978.0,2098.0,2218.0,2338.0,2458.0,2578.0,2698.0,2818.0,2938.0,3058.0,3179.0,3299.0,3419.0,3539.0,3659.0,3779.0,3899.0,4019.0,4139.0,4259.0,4379.0,4499.0,4619.0
